channel_id, channel_title, industry, channel_subscriberCount, channel_videoCount, channel_viewCount, has_email, has_ig, has_fb, has_twitter, has_websites, has_twitch, has_google_plus, twitter_favourites_count, twitter_followers_count, ig_posts_count, ig_followers_count, ig_following_count, keywords
UCbO9bltbkYwa56nZFQx6XJg,Manny Mua,beauty,4427274,301,300418057,1,1,1,1,0,0,1,156437,1084036,"2,026",4.4m,386,
UCwRenK7z1CzvxMcQgzYFrtg,Beauty Tips - Topic,beauty,691052,0,0,0,0,0,0,0,0,0,,,,,,
UC21yq4sq8uxTcfgIxxyE9VQ,Carli Bybel,beauty,5856748,469,536550352,1,1,1,1,0,0,1,10879,567209,357,2.3m,2,"contour highlight ""carli bybel"" carlibel55 carlibybel carlibel ""kim kardashian"" makeup hair tutorial ""smokey eye"" ""pro secrets"" ""makeup mistakes to avoid"" ""how to"" easy fun hairstyles lessons"
UC4qk9TtGhBKCkoWz5qGJcGg,Tati,beauty,3871738,1292,777449633,0,1,1,1,0,0,0,14506,508842,"1,190",1.2m,429,"YouTube beauty ""makeup tutorials"" ""beauty channel"" ""Makeup Reviews"" ""Beauty Expert"" Tutorial Drugstore Reviews GlamLifeGuru ""beauty by Tati"" ""makeup artist"" ""Pro MUA"" Sephora ""how to"" ""Beauty Haul"" easy quick fun"
UC2FfVEv0OvCEPktseWo7LrA,Dihya Beauty ⵣ,beauty,205810,128,13010580,0,1,1,1,0,0,0,80,370,293,44.8k,143,جزائرية مغربية مصرية عربية امازيغية اروبية خليجية تغني ترقص تقلد جميلة افضل احسن اسرع اقوى تحدي تحديات مقلب مقالب vlog طريقة برنامج فيلم مسلسل تعلم جديدة شاب رجل طفل فتاة بنات حجاب محجبة خلطة وصفة ماسك تبييض تفتيح نزع ازالة الشعر وجه يدين جسم مناطق حساسة بشرة دهنية جافة مختلطة نفخ شفايف تكبير تصغير العيون youtubeuse algérienne منتجات عناية ترطيب تقشير تنظيف المطبخ اكل حلويات makeup تسريحات روتين اسهل عروس مدرسة haul Tutoriel معلومات
UC2o2mfKyCvUuI4Or6H2Vr_g,мире необычного - Health & Beauty - HT,beauty,0,146,30666536,0,0,0,0,0,0,0,,,,,,"""whiteheads extractionblackheads"" comedon milia ""beauty tips"" beauty treatmentacne treatmentdr pimple popper ""dr pimple popper"" ""sandra lee"" ""pimple popper"" extraction blackhead whitehead ASMR cystskin Cyst channelpimple ""channel blackhead"" ""channel acne"" ""channel popping"" ""channel skin"" treatments ""medical education"" ""beauty skin"" problems Cystic Acne ""Pimples And Blackheads"""
UC2WuPTt0k8yDJpfenggOAVQ,Blossom,beauty,1283982,66,222149470,0,0,1,0,0,0,0,,,,,,"Blossom ""Blossom DIY"" DIY ""DIY Videos"" ""diy activities' life hacks"" projects ""Do It Youself"" hacks lifehacks tricks crafts ""how to"" craft ""back school back school"" ""home decor idea"" ""do it yourself"" ""crafts for kids"""
UCZF8rswpPhDhLDIFacEelHw,shook,beauty,308315,142,58687783,0,0,0,0,0,0,0,,,,,,
UCpKy9xHSSsCeMwsu-1OWyhw,brittanyd18,beauty,11233,3,11059747,0,0,0,0,0,0,0,,,,,,
UC2BX0lqJgWAA-7f-yJEcqbg,sanders kennedy,beauty,176059,479,28603737,0,1,0,1,0,0,1,5759,15464,"3,059","9,973",545,
